"personnum","date","shift","in_turno","out_turno","00:00","01:00","02:00","03:00","04:00","05:00","06:00","07:00","08:00","09:00","10:00","11:00","12:00","13:00","14:00","15:00","16:00","17:00","18:00","19:00","20:00","21:00","22:00","23:00"
"35","2023-12-21","SALA PT","17:00:00","21:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"35","2023-12-22","SALA PT","15:00:00","19:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0"
"35","2023-12-23","SALA PT","15:00:00","19:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0"
"35","2023-12-24","SALA PT","15:00:00","19:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0"
"36","2023-12-18","SALA PT","15:00:00","19:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0"
"36","2023-12-19","SALA PT","17:00:00","21:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"36","2023-12-20","SALA PT","19:00:00","23:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"36","2023-12-21","SALA PT","15:00:00","19:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0"
"36","2023-12-22","SALA PT","19:00:00","23:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"36","2023-12-23","Libre","00:00:00","00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","2023-12-24","Libre","00:00:00","00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
